Название - Город;URL - нзвание поддомена/папки;SEO окончание для title и description 
Абаза;abaza;в Абазе
Абакан;abakan;в Абакане
Абдулино;abdulino;в Абдулино
Абинск;abinsk;в Абинске
Агидель;agidel;в Агидели
Агрыз;agryz;в Агрызе
Адыгейск;adygejsk;в Адыгейске
Азнакаево;aznakaevo;в Азнакаево
Азов;azov;в Азове
Ак-Довурак;ak-dovurak;в Ак-Довураке
Аксай;aksaj;в Аксае
Алагир;alagir;в Алагире
Алапаевск;alapaevsk;в Алапаевске
Алатырь;alatyr;в Алатыре
Алдан;aldan;в Алдане
Алейск;alejsk;в Алейске
Александров;aleksandrov;в Александрове
Александровск;aleksandrovsk;в Александровске
Александровск-Сахалинский;aleksandrovsk-sahalinskij;в Александровске-Сахалинском
Алексеевка;alekseevka;в Алексеевке
Алексин;aleksin;в Алексине
Алзамай;alzamaj;в Алзамае
Алушта;alushta;в Алуште
Альметьевск;almetevsk;в Альметьевске
Амурск;amursk;в Амурске
Анадырь;anadyr;в Анадыре
Анапа;anapa;в Анапе
Ангарск;angarsk;в Ангарске
Андреаполь;andreapol;в Андреаполе
Анжеро-Судженск;anzhero-sudzhensk;в Анжеро-Судженске
Анива;aniva;в Аниве
Апатиты;apatity;в Апатитах
Апрелевка;aprelevka;в Апрелевке
Апшеронск;apsheronsk;в Апшеронске
Арамиль;aramil;в Арамиле
Аргун;argun;в Аргуне
Ардатов;ardatov;в Ардатове
Ардон;ardon;в Ардоне
Арзамас;arzamas;в Арзамасе
Аркадак;arkadak;в Аркадаке
Армавир;armavir;в Армавире
Армянск;armyansk;в Армянске
Арсеньев;arsenev;в Арсеньеве
Арск;arsk;в Арске
Артём;artyom;в Артёме
Артёмовск;artyomovsk;в Артёмовске
Артёмовский;artyomovskij;в Артёмовском
Архангельск;arhangelsk;в Архангельске
Асбест;asbest;в Асбесте
Асино;asino;в Асино
Астрахань;astrahan;в Астрахани
Аткарск;atkarsk;в Аткарске
Ахтубинск;ahtubinsk;в Ахтубинске
Ачинск;achinsk;в Ачинске
Аша;asha;в Аше
Бабаево;babaevo;в Бабаево
Бабушкин;babushkin;в Бабушкине
Бавлы;bavly;в Бавлах
Багратионовск;bagrationovsk;в Багратионовске
Байкальск;bajkalsk;в Байкальске
Баймак;bajmak;в Баймаке
Бакал;bakal;в Бакале
Баксан;baksan;в Баксане
Балабаново;balabanovo;в Балабаново
Балаково;balakovo;в Балаково
Балахна;balahna;в Балахне
Балашиха;balashiha;в Балашихе
Балашов;balashov;в Балашове
Балей;balej;в Балее
Балтийск;baltijsk;в Балтийске
Барабинск;barabinsk;в Барабинске
Барнаул;barnaul;в Барнауле
Барыш;barysh;в Барыше
Батайск;batajsk;в Батайске
Бежецк;bezheck;в Бежецке
Белая Калитва;belaya kalitva;в Белой Калитве
Белая Холуница;belaya holunica;в Белой Холунице
Белгород;belgorod;в Белгороде
Белебей;belebej;в Белебее
Белёв;belyov;в Белёве
Белинский;belinskij;в Белинском
Белово;belovo;в Белово
Белогорск;belogorsk;в Белогорске
Белозерск;belozersk;в Белозерске
Белокуриха;belokuriha;в Белокурихе
Беломорск;belomorsk;в Беломорске
Белорецк;beloreck;в Белорецке
Белореченск;belorechensk;в Белореченске
Белоусово;belousovo;в Белоусово
Белоярский;beloyarskij;в Белоярском
Белый;belyj;в Белом
Бердск;berdsk;в Бердске
Березники;berezniki;в Березниках
Берёзовский;beryozovskij;в Берёзовском
Беслан;beslan;в Беслане
Бийск;bijsk;в Бийске
Бикин;bikin;в Бикине
Билибино;bilibino;в Билибино
Биробиджан;birobidzhan;в Биробиджане
Бирск;birsk;в Бирске
Бирюсинск;biryusinsk;в Бирюсинске
Бирюч;biryuch;в Бирюче
Благовещенск;blagoveshchensk;в Благовещенске
Благодарный;blagodarnyj;в Благодарном
Бобров;bobrov;в Боброве
Богданович;bogdanovich;в Богдановиче
Богородицк;bogorodick;в Богородицке
Богородск;bogorodsk;в Богородске
Боготол;bogotol;в Боготоле
Богучар;boguchar;в Богучаре
Бодайбо;bodajbo;в Бодайбо
Бокситогорск;boksitogorsk;в Бокситогорске
Болгар;bolgar;в Болгаре
Бологое;bologoe;в Бологом
Болотное;bolotnoe;в Болотном
Болохово;bolohovo;в Болохово
Болхов;bolhov;в Болхове
