Города которые добавлены уже в админку сайта ;Название поддомена/папки; Адрес;Транспортная компания;Телефон;Почта;График работы;;;;;;;;;;;
Абакан;abakan;655002, Республика Хакасия, г. Абакан, Хлебная улица, д. 30 ;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Аксай;aksaj;346720, Россия, Ростовская область, Аксайский район, ул. Авиаторов, д. 5;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Альметьевск;almetevsk;423450, Республика татарстан, Альметьевский р-н, г. Альметьевскул. Базовая, д. 4;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Ангарск;angarsk;665800, Россия, Иркутская обл., Ангарский р-н, г. Ангарск, 215-й квартал, стр. 16;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Арзамас;arzamas;Арзамас, ул. Кольцова, 4;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Армавир;armavir;"352900, Краснодарский край, г. Армавир,ул. Мичурина, д. 7, База ""АРМО""";ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Артём;artem;692756, Россия, Приморский край, г. Артем, Фрунзе ул., дом 8;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Архангельск;arkhangelsk;Исакогорский округ, улица Дежнёвцев, 50;Свой офис;8-800-333-58-45 и 8 (8182) 639-464;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Астрахань;astrahan;414057, г.Астрахань, ул. Рождественского, д. 17;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Ачинск;achinsk;Ачинск, ул. Калинина, 6;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Балаково;balakovo;413841, Россия, Саратовская обл., Балаковский р-н, г. Балаково, ул. Вокзальная, 24;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Балашиха;balashiha;143900, г. Балашиха, пр-т Ленина, д.10 А;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Барнаул;barnaul;656049, Россия, Алтайский край, Барнаул, ул. Чернышевского, 293А;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Батайск;bataisk;346750, Россия, Ростовская обл., Азовский район, п. Койсуг, ул. М. Горького, д. 701Г;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Белгород;belgorod;308019, Россия, Белгородская обл., г. Белгород, ул. Кирпичный тупик, д.2А;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Бердск;berdsk;Бердск, ул. К. Маркса, 15;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Березники;berezniki;618400, Россия, Пермский край, г. Березенки, ул. Большевистская, 8;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Бийск;biysk;659303, Россия, г. Бийск, ул. Петра Мерлина, д. 63, корп. 2 (заезд с ул. Шадрина);ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Благовещенск;blagoveschensk;675005, Россия, Амурская область, г. Благовещенск, ул. Калинина, д. 126 (территория ИПК ?Приамурье?);ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Братск;bratsk;665717, Россия, Иркутская обл., Братский р-н, г. Братскул. Южная, д.14, стр.10;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Брянск;bryansk;241014, Россия, Брянская обл., г. Брянскул. М. Расковой, д. 25;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Великий Новгород;veliky-novgorod;Новгородская обл, г.Великий Новгород, Район Колмово, Базовый пер., д.13;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Владивосток;vladivostok;690088, Россия, Приморский край, г. Владивосток, Военное Шоссе, 18;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Владикавказ;vladikavkaz;362002, Россия, Владикавказ, Ставропольская улица, 2б;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Владимир;vladimir;600007, Россия, Владимирская обл., г. Владимир., ул. Гастелло, д.8;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Волгоград;volgograd;Волгоградская область, г. Волгоград, ул. Землячки д. 16;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Волгодонск;volgodonsk;Волгодонск, ул. Степная, 94;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Волжский;volzhsky;404130, Россия, Волгоградская обл., г. Волжский, ул. Автодорога, 6 д. 31В;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Вологда;vologda;улица Добролюбова, 53;Свой офис;8-800-333-58-45 и 8 (8172) 54-71-34;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Воронеж;voronezh;394036, г. Воронеж, ул. Кольцовская , д. 24;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Вязьма;vyazma;Вязьма, ул. Комсомольская, 17;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Грозный;grozny;Грозный, ул. Субры Кишиевой, 55;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Дзержинск;dzerzhinsk;606016, Россия, г. Дзержинск, проспект Ленина, д. 121а;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Димитровград;dimitrovgrad;433504, Ульяновская обл., г. Димитровград, ул. Промышленная, д. 35/5;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Долгопрудный;dolgoprudny;Долгопрудный, Лихачевское шоссе, 14 к1;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Домодедово;domodedovo;142001, Московская обл., г.Домодедово, ул.Лунная, д. № 9, помещение IV;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Евпатория;evpatoriya;Евпатория, ул. Советская, 3;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Екатеринбург;ekaterinburg;улица Титова, 19;Свой офис;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Елец;elec;Елец, ул. Ленина, 80а;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Ессентуки;essentuki;357625, Россия, Ставропольский край, г. Ессентуки, ул. Пятигорская, 135;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Жуковский;zhukovsky;Жуковский, ул. Луч, 20;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Златоуст;zlatoust;Златоуст, ул. Таганайская, 1Б;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Иваново;ivanovo;153005, Россия, Ивановская обл., г. Иваново, ул. Сосновая, 1, корпус ?В?, этаж 1, пав. № 1012;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Ижевск;izhevsk;426028, Удмуртская Республика, г. Ижевск, ул. Пойма, д. 22;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Йошкар-Ола;yoshkar-ola;424000, Россия, Марий Эл респ., г. Йошкар-Ола, ул. Строителей, 99б;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Иркутск;irkutsk;664024, Россия, Иркутская обл., г. Иркутск, ул. Новаторов, 1;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Казань;kazan;Казань, ул. Галиаскара Камала, 18;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Калининград;kaliningrad;236029, Россия, Калининградская обл., г. Калинингра, ул. Генерал-лейтенанта Озерова, 30;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Калуга;kaluga;248017, Россия, Калужская обл., г. Калуга, ул.Параллельная, д.11, стр.22;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Каменск-Уральский;kamensk-uralsky;623401, Россия, Свердловская обл., г. Каменск-Уральскийул. Карла Маркса, 99;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Камышин;kamyshin;Камышин, ул. Октябрьская, 21;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Каспийск;kaspiysk;Каспийск, ул. Ленина, 11;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Кемерово;kemerovo;650055, Россия, Кемеровская обл., г. Кемерово, Кузнецкий проспект, 91;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Керчь;kerch;Керчь, ул. Советская, 15;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Киров;kirov;610021, Россия, Кировская область, г. Киров, ул. Производственная, 22;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Кисловодск;kislovodsk;Кисловодск, Пр-т победы, 145;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Ковров;kovrov;Ковров, пр-т Мира, 2;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Коломна;kolomna;140483, Россия, Московская область, Коломенский район, поселок Радужный, д. 47 Б;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Комсомольск-на-Амуре;komsomolsk-na-amure;681027, Россия, Хабаровский край, г. Комсомольск-на-Амуре, ул. Вокзальная, д. 10/4Б;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Копейск;kopeisk;Копейск, ул. Проспект Победы, 55а;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Королёв;korolev;141070, Россия, Московская область, г. Королев, Ярославский проезд, д. 1В;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Кострома;kostroma;156019, Россия, Костромская обл., г. Кострома, ул. Деминская, д. 2 Б;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Красногорск;krasnogorsk;Красногорск, пер. Оптический, 1а;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Краснодар;krasnodar;Краснодар, ул. Красная, 124;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Красноярск;krasnoyarsk;660118, Россия, Красноярский край, г. КрасноярскСеверное шоссе, 5Г стр 26;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Курган;kurgan;640007, Россия, Курганская обл., г. Курган, ул. Омская, 146;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Курск;kursk;305023, Россия, Курская обл., г. Курск, Литовская, 12 А;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Кызыл;kyzyl;Кызыл, ул. Кочетова, 143;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Липецк;lipetsk;398902, Россия, Липецкая обл., г. Липецк, ул. Ангарская, д. 30;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Люберцы;lubercy;140073, Россия, Московская область, Люберецкий район, микрорайон Птицефабрика, к. 20;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Магнитогорск;magnitogorsk;455000, Россия, Челябинская обл., г. Магнитогорскул. Энергетиков, 2/1;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Майкоп;maikop;Майкоп, ул. Шовгенова, 1;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Махачкала;mahachkala;Махачкала, ул. Нурадилова, 76;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Миасс;miass;456300, Россия, Челябинская обл., г. Миасс, ул. Академика Павлова, 8;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Москва;moscow;улица Мнёвники, 3к2;Свой офис;8-800-333-58-45 и 8 (499) 703-19-73;laklaev@yandex.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Мурманск;murmansk;183034, Россия, Мурманская обл., г. Мурманск, ул. Домостроительная, д. 16/1, 2 этаж (территория маг. ?Стройлэнд?);ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Муром;murom;602266, Россия, Владимирская обл., г. Муром, Владимирское шоссе, д. 5;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Мытищи;mytischi;Мытищи, ул.Борисовка, 24;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Набережные Челны;naberezhnye-chelny;423800, Татарстан респ., г. Набережные ЧелныПромкомзона, Производственный проезд, 19;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Назрань;nazran;Назрань, пр-т Базоркина, 102;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Нальчик;nalchik;Нальчик, пр. Ленина, 26;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Находка;nahodka;Находка, ул. 25 лет Октября, 5;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Невинномысск;nevinnomyssk;357114, Россия, Ставропольский край, г. Невинномысск ул. Пятигорское шоссе, д. 7;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Нефтекамск;neftekamsk;452680, Башкортостан респ., г. Нефтекамск, ул. Высоковольтная, стр. 2;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Нефтеюганск;nefteugansk;Нефтеюганск, ул. 12 Микрорайон, 63;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Нижневартовск;nizhnevartovsk;628600, Россия, Ханты-Мансийский автономный округ, г. Нижневартовск, ул. Индустриальная, д. 38;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Нижнекамск;nizhnekamsk;423575, Республика Татарстан, г. Нижнекамск, Ахтубинская улица, д. 12;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Нижний Новгород;nizhny-novgorod;Нижний Новгород, ул Кулибина, 3А, этаж 1;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Нижний Тагил;nizhny-tagil;620000, Россия, Свердловская обл., г. Нижний Тагил, Восточное шоссе, 17;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Новокузнецк;novokuznetsk;654000, Россия, Кмеровская обл., г. Новокузнецк, Рудокопровая улица, 30А;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Новокуйбышевск;novokuybyshevsk;Новокуйбышевск, ул. Чернышевского, 35;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Новомосковск;novomoskovsk;Новомосковск, ул. Кирова, 3;СДЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
Новосибирск;novosibirsk;630119, Россия, Новосибирская обл., г. Новосибирск, Северный проезд, 41/2;ПЭК;8-800-333-58-45;info@laundrypro.ru;Пн-пт с 09.00 до 18.00;;;;;;;;;;;
